Title,Skill,num,Ordinal
Database Administrator,Oracle,4574.0,4.0
Database Administrator,Security,4543.0,5.0
Database Administrator,Recovery,4068.0,6.0
Database Administrator,IT,3649.0,7.0
Database Administrator,Software,3500.0,8.0
Database Administrator,production,3407.0,9.0
Database Administrator,Monitoring,3276.0,10.0
Database Administrator,Communications,2980.0,11.0
Database Administrator,Planning,2433.0,12.0
Database Administrator,Implementation,2405.0,13.0
Database Administrator,Access,2321.0,14.0
Database Administrator,Documentation,2311.0,15.0
Database Administrator,Troubleshooting,2264.0,16.0
Database Administrator,Education,2207.0,17.0
Database Administrator,Computer Science,2136.0,18.0
Database Administrator,configuration,2086.0,19.0
DevOps Engineer,DevOps,881.0,0.0
DevOps Engineer,Management,590.0,1.0
DevOps Engineer,Linux,588.0,2.0
DevOps Engineer,Software,586.0,3.0
DevOps Engineer,Infrastructure,520.0,4.0
DevOps Engineer,Automation,516.0,5.0
DevOps Engineer,cloud,504.0,6.0
DevOps Engineer,configuration,494.0,7.0
DevOps Engineer,Python,483.0,8.0
DevOps Engineer,Scripting,478.0,9.0
DevOps Engineer,Chef,452.0,10.0
DevOps Engineer,IT,441.0,11.0
DevOps Engineer,Monitoring,437.0,12.0
DevOps Engineer,Engineering,419.0,13.0
DevOps Engineer,Puppet,400.0,14.0
DevOps Engineer,Integration,392.0,15.0
DevOps Engineer,production,378.0,16.0
DevOps Engineer,Ruby,358.0,17.0
DevOps Engineer,Jenkins,355.0,18.0
DevOps Engineer,Java,328.0,19.0
Embedded Software Engineer,Software,687.0,0.0
Embedded Software Engineer,Embedded Software,648.0,1.0
Embedded Software Engineer,C,527.0,2.0
Embedded Software Engineer,Engineering,496.0,3.0
Embedded Software Engineer,C++,475.0,4.0
Embedded Software Engineer,Programming,332.0,5.0
Embedded Software Engineer,Hardware,320.0,6.0
Embedded Software Engineer,Communications,290.0,7.0
Embedded Software Engineer,Testing,262.0,8.0
Embedded Software Engineer,Linux,261.0,9.0
Embedded Software Engineer,Management,227.0,10.0
Embedded Software Engineer,Computer Science,215.0,11.0
Embedded Software Engineer,Integration,201.0,12.0
Embedded Software Engineer,Documentation,179.0,13.0
Embedded Software Engineer,IT,163.0,14.0
Embedded Software Engineer,Firmware,161.0,15.0
Embedded Software Engineer,Debugging,160.0,16.0
Embedded Software Engineer,Security,154.0,17.0
Embedded Software Engineer,RTOS,153.0,18.0
Embedded Software Engineer,Implementation,153.0,19.0
Entry Level Software Developer,Software,302.0,0.0
Entry Level Software Developer,Java,222.0,1.0
Entry Level Software Developer,Computer Science,215.0,2.0
Entry Level Software Developer,Communications,190.0,3.0
Entry Level Software Developer,.NET,185.0,4.0
Entry Level Software Developer,IT,168.0,5.0
Entry Level Software Developer,SQL,168.0,6.0
Entry Level Software Developer,Engineering,167.0,7.0
Entry Level Software Developer,Programming,144.0,8.0
Entry Level Software Developer,Training,139.0,9.0
Entry Level Software Developer,Mathematics,128.0,10.0
Entry Level Software Developer,Testing,128.0,11.0
Entry Level Software Developer,C++,99.0,12.0
Entry Level Software Developer,C#,94.0,13.0
Entry Level Software Developer,Database,93.0,14.0
Entry Level Software Developer,Problem Solving,90.0,15.0
Entry Level Software Developer,Architecture,83.0,16.0
Entry Level Software Developer,JavaScript,82.0,17.0
Entry Level Software Developer,Consulting,73.0,18.0
Entry Level Software Developer,Documentation,71.0,19.0
Front End .NET Developer,.NET,102.0,0.0
Front End .NET Developer,JavaScript,93.0,1.0
Front End .NET Developer,C#,76.0,2.0
Front End .NET Developer,jQuery,73.0,3.0
Front End .NET Developer,ASP.NET,70.0,4.0
Front End .NET Developer,SQL,65.0,5.0
Front End .NET Developer,CSS,62.0,6.0
Front End .NET Developer,Software,51.0,7.0
Front End .NET Developer,MVC,49.0,8.0
Front End .NET Developer,HTML,48.0,9.0
Front End .NET Developer,IT,45.0,10.0
Front End .NET Developer,CSS3,36.0,11.0
Front End .NET Developer,HTML5,36.0,12.0
Front End .NET Developer,Agile,36.0,13.0
Front End .NET Developer,AJAX,33.0,14.0
Front End .NET Developer,UI,33.0,15.0
Front End .NET Developer,JSON,32.0,16.0
Front End .NET Developer,Programming,32.0,17.0
Front End .NET Developer,Framework,31.0,18.0
Front End .NET Developer,SQL Server,30.0,19.0
Front End Developer,JavaScript,4092.0,0.0
Front End Developer,CSS,3211.0,1.0
Front End Developer,HTML,2695.0,2.0
Front End Developer,HTML5,2115.0,3.0
Front End Developer,jQuery,2069.0,4.0
Front End Developer,IT,1859.0,5.0
Front End Developer,Software,1761.0,6.0
Front End Developer,CSS3,1650.0,7.0
Front End Developer,Mobile,1466.0,8.0
Front End Developer,AngularJS,1363.0,9.0
Front End Developer,Agile,1266.0,10.0
Front End Developer,Management,1264.0,11.0
Front End Developer,Testing,1251.0,12.0
Front End Developer,Communications,1208.0,13.0
Front End Developer,UI,1198.0,14.0
Front End Developer,Git,1009.0,15.0
Front End Developer,SASS,975.0,16.0
Front End Developer,Programming,910.0,17.0
Front End Developer,Computer Science,887.0,18.0
Front End Developer,bootstrap,877.0,19.0
Front End Developer/Designer,JavaScript,119.0,0.0
